func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.0364199	4.44812
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.0517531	7.04305
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.102893	6.29779
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.134606	7.52194
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.169251	8.61442
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0361057	4.48682
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0589519	6.18301
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0842053	7.69548
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.113438	8.92561
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.144496	10.0902
