func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.0027399	59.1263
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.00611211	59.6357
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.0111327	58.2068
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.0199251	50.8153
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.0307868	47.358
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.016493	9.82233
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0322609	11.2985
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0555693	11.6611
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.085972	11.7771
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.127246	11.4582
