func	prec	M	N	time[sec]	perf[GFLOPS] 
mscal(Dense)	float	1000	1000	0.00228606	0.437434	
mscal(Dense)	float	2000	2000	0.00602695	0.663686	
mscal(Dense)	float	3000	3000	0.012072	0.745526	
mscal(Dense)	float	4000	4000	0.0189304	0.845199	
mscal(Dense)	float	5000	5000	0.0268784	0.930115	
mscal(Dense)	float	6000	6000	0.038545	0.933974	
mscal(Dense)	float	7000	7000	0.0516326	0.949012	
mscal(Dense)	float	8000	8000	0.0673123	0.950793	
mscal(Dense)	float	9000	9000	0.0859455	0.942457	
mscal(Dense)	float	10000	10000	0.104862	0.953636	
mscal(Dense)	double	1000	1000	0.00215357	0.464345	
mscal(Dense)	double	2000	2000	0.00617476	0.647799	
mscal(Dense)	double	3000	3000	0.0129211	0.696534	
mscal(Dense)	double	4000	4000	0.0222356	0.719566	
mscal(Dense)	double	5000	5000	0.0344474	0.725744	
mscal(Dense)	double	6000	6000	0.0493435	0.729579	
mscal(Dense)	double	7000	7000	0.0664824	0.737037	
mscal(Dense)	double	8000	8000	0.0865851	0.739157	
mscal(Dense)	double	9000	9000	0.110337	0.734117	
