func	prec	M	N	time[sec]	perf[GFLOPS] 
matadd(Dense,Dense,Dense)	float	1000	1000	0.00335378	0.298171	
matadd(Dense,Dense,Dense)	float	2000	2000	0.00191139	2.09272	
matadd(Dense,Dense,Dense)	float	3000	3000	0.00850457	1.05825	
matadd(Dense,Dense,Dense)	float	4000	4000	0.0162924	0.982052	
matadd(Dense,Dense,Dense)	float	5000	5000	0.0260425	0.959969	
matadd(Dense,Dense,Dense)	float	6000	6000	0.036818	0.977784	
matadd(Dense,Dense,Dense)	float	7000	7000	0.051382	0.953641	
matadd(Dense,Dense,Dense)	float	8000	8000	0.052391	1.22158	
matadd(Dense,Dense,Dense)	float	9000	9000	0.0845736	0.957745	
matadd(Dense,Dense,Dense)	float	10000	10000	0.0799033	1.25151	
matadd(Dense,Dense,Dense)	double	1000	1000	9.79201e-05	10.2124	
matadd(Dense,Dense,Dense)	double	2000	2000	0.00732093	0.546379	
matadd(Dense,Dense,Dense)	double	3000	3000	0.0204019	0.441136	
matadd(Dense,Dense,Dense)	double	4000	4000	0.0421128	0.379932	
matadd(Dense,Dense,Dense)	double	5000	5000	0.0606925	0.411913	
matadd(Dense,Dense,Dense)	double	6000	6000	0.0807613	0.445758	
matadd(Dense,Dense,Dense)	double	7000	7000	0.101305	0.483688	
matadd(Dense,Dense,Dense)	double	8000	8000	0.112523	0.568772	
matadd(Dense,Dense,Dense)	double	9000	9000	0.161646	0.501095	
matadd(Dense,Dense,Dense)	double	10000	10000	0.126344	0.791492	
