func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0019716	1.0144	
matvec(Dense)	float	2000	2000	6.57445e-05	121.683	
matvec(Dense)	float	3000	3000	0.000196866	91.4328	
matvec(Dense)	float	4000	4000	0.00502151	6.37258	
matvec(Dense)	float	5000	5000	0.00959163	5.21288	
matvec(Dense)	float	6000	6000	0.0146411	4.91767	
matvec(Dense)	float	7000	7000	0.0199642	4.9088	
matvec(Dense)	float	8000	8000	0.0269686	4.74625	
matvec(Dense)	float	9000	9000	0.016056	10.0897	
matvec(Dense)	float	10000	10000	0.0410302	4.87446	
matvec(Dense)	double	1000	1000	0.000152153	13.1447	
matvec(Dense)	double	2000	2000	0.000138454	57.7809	
matvec(Dense)	double	3000	3000	0.00605896	2.97081	
matvec(Dense)	double	4000	4000	0.0126352	2.53261	
matvec(Dense)	double	5000	5000	0.0207408	2.41071	
matvec(Dense)	double	6000	6000	0.0301588	2.38736	
matvec(Dense)	double	7000	7000	0.0416299	2.35408	
matvec(Dense)	double	8000	8000	0.0557151	2.2974	
matvec(Dense)	double	9000	9000	0.0472493	3.42862	
matvec(Dense)	double	10000	10000	0.0726065	2.75458	
