func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0163166	0.122575	
matvec(Dense)	float	2000	2000	0.000684104	11.6941	
matvec(Dense)	float	3000	3000	0.000895254	20.106	
matvec(Dense)	float	4000	4000	0.00120841	26.4811	
matvec(Dense)	float	5000	5000	0.00153562	32.5601	
matvec(Dense)	float	6000	6000	0.00196976	36.5526	
matvec(Dense)	float	7000	7000	0.00247864	39.5378	
matvec(Dense)	float	8000	8000	0.00318042	40.2463	
matvec(Dense)	float	9000	9000	0.00378537	42.7964	
matvec(Dense)	float	10000	10000	0.00455479	43.9099	
matvec(Dense)	double	1000	1000	0.000561562	3.5615	
matvec(Dense)	double	2000	2000	0.000825479	9.69134	
matvec(Dense)	double	3000	3000	0.0012301	14.6329	
matvec(Dense)	double	4000	4000	0.00187233	17.091	
matvec(Dense)	double	5000	5000	0.00249285	20.0574	
matvec(Dense)	double	6000	6000	0.0034465	20.8908	
matvec(Dense)	double	7000	7000	0.00443399	22.102	
matvec(Dense)	double	8000	8000	0.00568772	22.5046	
matvec(Dense)	double	9000	9000	0.00708592	22.8622	
