func	prec	M	N	time[sec]	perf[GFLOPS] 
mscal(Dense)	float	1000	1000	6.11225e-05	16.3606	
mscal(Dense)	float	2000	2000	9.86187e-05	40.5603	
mscal(Dense)	float	3000	3000	0.000237565	37.8844	
mscal(Dense)	float	4000	4000	0.00553651	2.8899	
mscal(Dense)	float	5000	5000	0.0106822	2.34034	
mscal(Dense)	float	6000	6000	0.0157265	2.28912	
mscal(Dense)	float	7000	7000	0.0216239	2.26601	
mscal(Dense)	float	8000	8000	0.0282485	2.2656	
mscal(Dense)	float	9000	9000	0.014169	5.7167	
mscal(Dense)	float	10000	10000	0.0426512	2.3446	
mscal(Dense)	double	1000	1000	4.98981e-05	20.0408	
mscal(Dense)	double	2000	2000	0.000192196	20.812	
mscal(Dense)	double	3000	3000	0.00679799	1.32392	
mscal(Dense)	double	4000	4000	0.0138471	1.15547	
mscal(Dense)	double	5000	5000	0.0220197	1.13535	
mscal(Dense)	double	6000	6000	0.03192	1.12782	
mscal(Dense)	double	7000	7000	0.0439459	1.11501	
mscal(Dense)	double	8000	8000	0.0433338	1.47691	
mscal(Dense)	double	9000	9000	0.0718035	1.12808	
mscal(Dense)	double	10000	10000	0.0737924	1.35515	
