func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_div	float	1000	0.000208477	0.00959339	0.0383736	
sv_div	float	10000	2.74504e-05	0.728587	2.91435	
sv_div	float	100000	0.000126073	1.58638	6.34553	
sv_div	float	1000000	0.000920249	2.17332	8.6933	
sv_div	float	10000000	0.025672	0.779058	3.11623	
sv_div	float	100000000	0.213888	0.935068	3.74027	
sv_div	double	1000	1.85513e-05	0.107809	0.862473	
sv_div	double	10000	3.62957e-05	0.551029	4.40824	
sv_div	double	100000	0.000163711	1.22166	9.77331	
sv_div	double	1000000	0.00175188	1.14163	9.13306	
sv_div	double	10000000	0.0554905	0.360422	2.88338	
sv_div	double	100000000	0.475876	0.420277	3.36222	
