func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.0026125
convert(COO,Dense)	Dense	float	2000	2000	0.0054622
convert(COO,Dense)	Dense	float	3000	3000	0.0164981
convert(COO,Dense)	Dense	float	4000	4000	0.0283955
convert(COO,Dense)	Dense	float	5000	5000	0.0431968
convert(COO,Dense)	Dense	float	6000	6000	0.0609471
convert(COO,Dense)	Dense	float	7000	7000	0.0814885
convert(COO,Dense)	Dense	float	8000	8000	0.105191
convert(COO,Dense)	Dense	float	9000	9000	0.130667
convert(COO,Dense)	Dense	float	10000	10000	0.159707
convert(COO,Dense)	Dense	double	1000	1000	0.00294166
convert(COO,Dense)	Dense	double	2000	2000	0.00872175
convert(COO,Dense)	Dense	double	3000	3000	0.0302203
convert(COO,Dense)	Dense	double	4000	4000	0.0523557
convert(COO,Dense)	Dense	double	5000	5000	0.0804399
convert(COO,Dense)	Dense	double	6000	6000	0.113521
convert(COO,Dense)	Dense	double	7000	7000	0.152442
convert(COO,Dense)	Dense	double	8000	8000	0.198002
convert(COO,Dense)	Dense	double	9000	9000	0.247797
convert(COO,Dense)	Dense	double	10000	10000	0.303926
