func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00280048
convert(COO,Dense)	float	2000	2000	0.0059016
convert(COO,Dense)	float	3000	3000	0.0165588
convert(COO,Dense)	float	4000	4000	0.0297821
convert(COO,Dense)	float	5000	5000	0.0452643
convert(COO,Dense)	float	6000	6000	0.0634026
convert(COO,Dense)	float	7000	7000	0.0839329
convert(COO,Dense)	float	8000	8000	0.108082
convert(COO,Dense)	float	9000	9000	0.1352
convert(COO,Dense)	float	10000	10000	0.166035
convert(COO,Dense)	double	1000	1000	0.00293656
convert(COO,Dense)	double	2000	2000	0.00930054
convert(COO,Dense)	double	3000	3000	0.0305245
convert(COO,Dense)	double	4000	4000	0.0540833
convert(COO,Dense)	double	5000	5000	0.082608
convert(COO,Dense)	double	6000	6000	0.117365
convert(COO,Dense)	double	7000	7000	0.159456
convert(COO,Dense)	double	8000	8000	0.206966
convert(COO,Dense)	double	9000	9000	0.258691
convert(COO,Dense)	double	10000	10000	0.318255
