func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0181264	110.336
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0104831	1526.26
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.027969	1930.71
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0610179	2097.74
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.121582	2056.23
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0276588	72.3096
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208555	76.7185
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.681773	79.2053
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.62306	78.8632
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.18629	78.4612
