func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0061262	326.467
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0303661	526.904
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.103062	523.957
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.236223	541.861
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.452009	553.086
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00978105	204.477
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0645338	247.932
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.198132	272.546
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.457412	279.835
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.875722	285.479
