func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.52134e-05	18.1115	217.339
matadd(Dense,Dense,Dense)	float	2000	2000	0.00224106	1.78487	21.4184
matadd(Dense,Dense,Dense)	float	3000	3000	0.0108185	0.831911	9.98293
matadd(Dense,Dense,Dense)	float	4000	4000	0.0201059	0.795788	9.54946
matadd(Dense,Dense,Dense)	float	5000	5000	0.0327838	0.762571	9.15086
matadd(Dense,Dense,Dense)	float	6000	6000	0.0337075	1.06801	12.8161
matadd(Dense,Dense,Dense)	float	7000	7000	0.0641081	0.764334	9.17201
matadd(Dense,Dense,Dense)	float	8000	8000	0.0846434	0.756113	9.07336
matadd(Dense,Dense,Dense)	float	9000	9000	0.0998593	0.811141	9.7337
matadd(Dense,Dense,Dense)	float	10000	10000	0.0932063	1.07289	12.8747
matadd(Dense,Dense,Dense)	double	1000	1000	0.00383925	0.260467	6.25121
matadd(Dense,Dense,Dense)	double	2000	2000	0.00905585	0.441703	10.6009
matadd(Dense,Dense,Dense)	double	3000	3000	0.0230802	0.389944	9.35866
matadd(Dense,Dense,Dense)	double	4000	4000	0.0385089	0.415488	9.97171
matadd(Dense,Dense,Dense)	double	5000	5000	0.0386879	0.646197	15.5087
matadd(Dense,Dense,Dense)	double	6000	6000	0.0843051	0.427021	10.2485
matadd(Dense,Dense,Dense)	double	7000	7000	0.102524	0.477936	11.4705
matadd(Dense,Dense,Dense)	double	8000	8000	0.134669	0.475238	11.4057
matadd(Dense,Dense,Dense)	double	9000	9000	0.14334	0.565089	13.5621
matadd(Dense,Dense,Dense)	double	10000	10000	0.187169	0.534276	12.8226
