func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_div	float	1000	1.99379e-05	0.100311	0.401246
sv_div	float	10000	2.51868e-05	0.794067	3.17627
sv_div	float	100000	0.000127963	1.56295	6.2518
sv_div	float	1000000	0.000906908	2.2053	8.82118
sv_div	float	10000000	0.0263405	0.759288	3.03715
sv_div	float	100000000	0.226054	0.884746	3.53898
sv_div	double	1000	1.71172e-05	0.116842	0.934732
sv_div	double	10000	3.63479e-05	0.550238	4.4019
sv_div	double	100000	0.000225524	0.886823	7.09459
sv_div	double	1000000	0.00183874	1.0877	8.70159
sv_div	double	10000000	0.0556377	0.359468	2.87575
sv_div	double	100000000	0.448043	0.446385	3.57108
