func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00228496	0.437644	3.50115
mscal(Dense)	float	2000	2000	0.00603264	0.66306	5.30448
mscal(Dense)	float	3000	3000	0.012061	0.746208	5.96966
mscal(Dense)	float	4000	4000	0.0187877	0.851621	6.81297
mscal(Dense)	float	5000	5000	0.0267713	0.933836	7.47069
mscal(Dense)	float	6000	6000	0.0383681	0.938279	7.50623
mscal(Dense)	float	7000	7000	0.0514171	0.95299	7.62392
mscal(Dense)	float	8000	8000	0.0672709	0.951377	7.61102
mscal(Dense)	float	9000	9000	0.0859144	0.942799	7.54239
mscal(Dense)	float	10000	10000	0.105014	0.952252	7.61802
mscal(Dense)	double	1000	1000	0.00214799	0.465552	7.44883
mscal(Dense)	double	2000	2000	0.00616529	0.648793	10.3807
mscal(Dense)	double	3000	3000	0.0129154	0.696842	11.1495
mscal(Dense)	double	4000	4000	0.0222432	0.71932	11.5091
mscal(Dense)	double	5000	5000	0.0344522	0.725642	11.6103
mscal(Dense)	double	6000	6000	0.049317	0.729972	11.6796
mscal(Dense)	double	7000	7000	0.066462	0.737264	11.7962
mscal(Dense)	double	8000	8000	0.0865489	0.739467	11.8315
mscal(Dense)	double	9000	9000	0.110342	0.734083	11.7453
