func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.0172032	0.116258
mv_mul(Dense)	float	2000	2000	0.0015907	5.02922
mv_mul(Dense)	float	3000	3000	0.00181343	9.92592
mv_mul(Dense)	float	4000	4000	0.00235266	13.6016
mv_mul(Dense)	float	5000	5000	0.00236087	21.1786
mv_mul(Dense)	float	6000	6000	0.00272202	26.4509
mv_mul(Dense)	float	7000	7000	0.00321617	30.471
mv_mul(Dense)	float	8000	8000	0.00390546	32.7746
mv_mul(Dense)	float	9000	9000	0.00461967	35.0674
mv_mul(Dense)	float	10000	10000	0.00526638	37.9767
mv_mul(Dense)	double	1000	1000	0.00126392	1.58238
mv_mul(Dense)	double	2000	2000	0.00153764	5.20278
mv_mul(Dense)	double	3000	3000	0.00193019	9.32551
mv_mul(Dense)	double	4000	4000	0.00253018	12.6473
mv_mul(Dense)	double	5000	5000	0.00330945	15.1082
mv_mul(Dense)	double	6000	6000	0.0042064	17.1168
mv_mul(Dense)	double	7000	7000	0.00516233	18.9837
mv_mul(Dense)	double	8000	8000	0.00646434	19.8009
mv_mul(Dense)	double	9000	9000	0.00800185	20.2453
