func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.0030474
transpose(Dense)	float	2000	2000	0.0158106
transpose(Dense)	float	3000	3000	0.0496917
transpose(Dense)	float	4000	4000	0.0979832
transpose(Dense)	float	5000	5000	0.155774
transpose(Dense)	float	6000	6000	0.21532
transpose(Dense)	float	7000	7000	0.329396
transpose(Dense)	float	8000	8000	0.396075
transpose(Dense)	float	9000	9000	0.529689
transpose(Dense)	float	10000	10000	0.616087
transpose(Dense)	double	1000	1000	0.00370679
transpose(Dense)	double	2000	2000	0.029233
transpose(Dense)	double	3000	3000	0.0731517
transpose(Dense)	double	4000	4000	0.15055
transpose(Dense)	double	5000	5000	0.229461
transpose(Dense)	double	6000	6000	0.344583
transpose(Dense)	double	7000	7000	0.454298
transpose(Dense)	double	8000	8000	0.619699
transpose(Dense)	double	9000	9000	0.753438
transpose(Dense)	double	10000	10000	0.930411
