func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00366214	0.273065	2.18452
mscal(Dense)	float	2000	2000	0.000100112	39.9553	319.642
mscal(Dense)	float	3000	3000	0.000268179	33.5597	268.478
mscal(Dense)	float	4000	4000	0.00551999	2.89856	23.1884
mscal(Dense)	float	5000	5000	0.0106943	2.33769	18.7015
mscal(Dense)	float	6000	6000	0.0156376	2.30215	18.4172
mscal(Dense)	float	7000	7000	0.0216232	2.26609	18.1287
mscal(Dense)	float	8000	8000	0.0281281	2.2753	18.2024
mscal(Dense)	float	9000	9000	0.02296	3.52788	28.2231
mscal(Dense)	float	10000	10000	0.044828	2.23075	17.846
mscal(Dense)	double	1000	1000	5.15113e-05	19.4132	310.611
mscal(Dense)	double	2000	2000	0.000198231	20.1785	322.856
mscal(Dense)	double	3000	3000	0.00681114	1.32137	21.1418
mscal(Dense)	double	4000	4000	0.0138266	1.15719	18.515
mscal(Dense)	double	5000	5000	0.0145422	1.71914	27.5062
mscal(Dense)	double	6000	6000	0.031704	1.1355	18.1681
mscal(Dense)	double	7000	7000	0.0438705	1.11692	17.8708
mscal(Dense)	double	8000	8000	0.0569977	1.12285	17.9656
mscal(Dense)	double	9000	9000	0.0643392	1.25895	20.1432
mscal(Dense)	double	10000	10000	0.0687296	1.45498	23.2796
