func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	0.000933814	0.00214175	0.0128505
axpyz	float	10000	0.000966566	0.0206918	0.124151
axpyz	float	100000	0.00126818	0.157706	0.946237
axpyz	float	1000000	0.00418913	0.477427	2.86456
axpyz	float	10000000	0.0312134	0.640751	3.84451
axpyz	float	100000000	0.265408	0.753558	4.52135
axpyz	double	1000	0.000733833	0.00272541	0.032705
axpyz	double	10000	0.000764716	0.0261535	0.313842
axpyz	double	100000	0.00109052	0.183398	2.20078
axpyz	double	1000000	0.00407338	0.490993	5.89192
axpyz	double	10000000	0.0349549	0.572165	6.86598
axpyz	double	100000000	0.340513	0.587349	7.04818
