func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.00201044	0.497405
m_tanh(Dense)	float	2000	2000	0.00108955	3.67123
m_tanh(Dense)	float	3000	3000	0.00249586	3.60598
m_tanh(Dense)	float	4000	4000	0.00492045	3.25173
m_tanh(Dense)	float	5000	5000	0.00877893	2.84773
m_tanh(Dense)	float	6000	6000	0.0126505	2.84573
m_tanh(Dense)	float	7000	7000	0.0178052	2.752
m_tanh(Dense)	float	8000	8000	0.0235089	2.72238
m_tanh(Dense)	float	9000	9000	0.0305547	2.65099
m_tanh(Dense)	float	10000	10000	0.0388472	2.57419
m_tanh(Dense)	double	1000	1000	0.000732387	1.3654
m_tanh(Dense)	double	2000	2000	0.00291063	1.37427
m_tanh(Dense)	double	3000	3000	0.00697368	1.29057
m_tanh(Dense)	double	4000	4000	0.0124636	1.28374
m_tanh(Dense)	double	5000	5000	0.0196037	1.27527
m_tanh(Dense)	double	6000	6000	0.0289144	1.24505
m_tanh(Dense)	double	7000	7000	0.0390929	1.25342
m_tanh(Dense)	double	8000	8000	0.0500605	1.27845
m_tanh(Dense)	double	9000	9000	0.064442	1.25695
m_tanh(Dense)	double	10000	10000	0.0802104	1.24672
