func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.008493	235.488
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0048521	1391.15
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0092147	1736.36
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0155748	2006.44
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0262877	2054.19
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0421176	2035.96
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0617295	2073.56
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0888337	2051.59
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.122216	2045.56
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0277585	72.0499
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0883387	76.4104
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.208862	76.6055
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.406211	76.9304
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.682034	79.175
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.09047	78.636
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.62312	78.8605
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.31669	78.6684
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.1853	78.4855
