func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00290039
transpose(Dense)	Dense	float	2000	2000	0.0153734
transpose(Dense)	Dense	float	3000	3000	0.049476
transpose(Dense)	Dense	float	4000	4000	0.0973674
transpose(Dense)	Dense	float	5000	5000	0.153313
transpose(Dense)	Dense	float	6000	6000	0.212293
transpose(Dense)	Dense	float	7000	7000	0.317272
transpose(Dense)	Dense	float	8000	8000	0.393367
transpose(Dense)	Dense	float	9000	9000	0.525352
transpose(Dense)	Dense	float	10000	10000	0.610513
transpose(Dense)	Dense	double	1000	1000	0.00354702
transpose(Dense)	Dense	double	2000	2000	0.0277513
transpose(Dense)	Dense	double	3000	3000	0.0736017
transpose(Dense)	Dense	double	4000	4000	0.149872
transpose(Dense)	Dense	double	5000	5000	0.227919
transpose(Dense)	Dense	double	6000	6000	0.342513
transpose(Dense)	Dense	double	7000	7000	0.451226
transpose(Dense)	Dense	double	8000	8000	0.614429
transpose(Dense)	Dense	double	9000	9000	0.748041
transpose(Dense)	Dense	double	10000	10000	0.924375
