func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.00113449	0.0713978	0.571183	
mscal(CRS)	float	10000	10000	0.00302182	0.268051	2.1444	
mscal(CRS)	float	100000	100000	0.021041	0.384962	3.0797	
mscal(CRS)	float	1000000	1000000	0.16957	0.477678	3.82142	
mscal(CRS)	double	1000	1000	0.000992285	0.0816298	1.30608	
mscal(CRS)	double	10000	10000	0.00296999	0.272728	4.36365	
mscal(CRS)	double	100000	100000	0.0225882	0.358595	5.73751	
mscal(CRS)	double	1000000	1000000	0.219518	0.36899	5.90383	
