func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.017108	0.116904	
mv_mul(Dense)	float	2000	2000	0.00159095	5.02845	
mv_mul(Dense)	float	3000	3000	0.00180831	9.95404	
mv_mul(Dense)	float	4000	4000	0.00224572	14.2493	
mv_mul(Dense)	float	5000	5000	0.00235931	21.1927	
mv_mul(Dense)	float	6000	6000	0.00272785	26.3944	
mv_mul(Dense)	float	7000	7000	0.00320598	30.5679	
mv_mul(Dense)	float	8000	8000	0.00390003	32.8203	
mv_mul(Dense)	float	9000	9000	0.00461124	35.1315	
mv_mul(Dense)	float	10000	10000	0.00526135	38.0131	
mv_mul(Dense)	double	1000	1000	0.00125831	1.58943	
mv_mul(Dense)	double	2000	2000	0.00152517	5.24533	
mv_mul(Dense)	double	3000	3000	0.00191462	9.40137	
mv_mul(Dense)	double	4000	4000	0.00251797	12.7087	
mv_mul(Dense)	double	5000	5000	0.0033036	15.135	
mv_mul(Dense)	double	6000	6000	0.00419499	17.1633	
mv_mul(Dense)	double	7000	7000	0.00516724	18.9656	
mv_mul(Dense)	double	8000	8000	0.00645499	19.8296	
mv_mul(Dense)	double	9000	9000	0.00799721	20.2571	
