func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_sub	float	1000	1.79313e-05	0.111537	0.669221	
vv_sub	float	10000	2.57121e-05	0.777844	4.66706	
vv_sub	float	100000	0.000114981	1.73941	10.4365	
vv_sub	float	1000000	0.000819304	2.4411	14.6466	
vv_sub	float	10000000	0.0223403	0.895244	5.37146	
vv_sub	float	100000000	0.226053	0.884747	5.30848	
vv_sub	double	1000	1.79282e-05	0.111556	1.33867	
vv_sub	double	10000	3.34299e-05	0.598267	7.1792	
vv_sub	double	100000	0.000137694	1.4525	17.43	
vv_sub	double	1000000	0.00167466	1.19427	14.3313	
vv_sub	double	10000000	0.0556741	0.359234	4.3108	
vv_sub	double	100000000	0.561646	0.356096	4.27315	
