func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.00201191	0.994081	
matvec(Dense)	float	2000	2000	6.5039e-05	123.003	
matvec(Dense)	float	3000	3000	0.000183167	98.2709	
matvec(Dense)	float	4000	4000	0.00500652	6.39167	
matvec(Dense)	float	5000	5000	0.00944792	5.29217	
matvec(Dense)	float	6000	6000	0.0142447	5.05453	
matvec(Dense)	float	7000	7000	0.0203425	4.81751	
matvec(Dense)	float	8000	8000	0.0272488	4.69746	
matvec(Dense)	float	9000	9000	0.0153895	10.5267	
matvec(Dense)	float	10000	10000	0.0429624	4.65524	
matvec(Dense)	double	1000	1000	0.000149079	13.4157	
matvec(Dense)	double	2000	2000	0.000139577	57.316	
matvec(Dense)	double	3000	3000	0.00597395	3.01308	
matvec(Dense)	double	4000	4000	0.0127389	2.51199	
matvec(Dense)	double	5000	5000	0.0208546	2.39755	
matvec(Dense)	double	6000	6000	0.0283276	2.54169	
matvec(Dense)	double	7000	7000	0.0419891	2.33394	
matvec(Dense)	double	8000	8000	0.0476624	2.68556	
matvec(Dense)	double	9000	9000	0.0358265	4.5218	
matvec(Dense)	double	10000	10000	0.0602272	3.32076	
