func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	float	1000	0.000503273	0.00397399	0.015896	
dot	float	10000	0.00051616	0.0387476	0.154991	
dot	float	100000	0.000515516	0.38796	1.55184	
dot	float	1000000	0.000594987	3.36142	13.4457	
dot	float	10000000	0.00129002	15.5036	62.0143	
dot	float	100000000	0.00823537	24.2855	97.1419	
dot	double	1000	0.00108346	0.00184594	0.0147675	
dot	double	10000	0.000461066	0.0433777	0.347022	
dot	double	100000	0.000473279	0.422583	3.38067	
dot	double	1000000	0.000607631	3.29147	26.3318	
dot	double	10000000	0.00200054	9.99733	79.9786	
dot	double	100000000	0.0159649	12.5275	100.22	
