func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0164556	0.121539	
matvec(Dense)	float	2000	2000	0.000687112	11.6429	
matvec(Dense)	float	3000	3000	0.000895339	20.1041	
matvec(Dense)	float	4000	4000	0.00121228	26.3967	
matvec(Dense)	float	5000	5000	0.00153256	32.6252	
matvec(Dense)	float	6000	6000	0.00196213	36.6948	
matvec(Dense)	float	7000	7000	0.0024886	39.3796	
matvec(Dense)	float	8000	8000	0.0031672	40.4143	
matvec(Dense)	float	9000	9000	0.00378175	42.8373	
matvec(Dense)	float	10000	10000	0.00453344	44.1166	
matvec(Dense)	double	1000	1000	0.000546401	3.66032	
matvec(Dense)	double	2000	2000	0.000807994	9.90107	
matvec(Dense)	double	3000	3000	0.00121675	14.7935	
matvec(Dense)	double	4000	4000	0.00181891	17.5929	
matvec(Dense)	double	5000	5000	0.00249111	20.0714	
matvec(Dense)	double	6000	6000	0.00343238	20.9767	
matvec(Dense)	double	7000	7000	0.00442576	22.1431	
matvec(Dense)	double	8000	8000	0.00568032	22.5339	
matvec(Dense)	double	9000	9000	0.00707294	22.9042	
