func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.000449758	2.22342	17.7873	
mscal(Dense)	float	2000	2000	9.81186e-05	40.767	326.136	
mscal(Dense)	float	3000	3000	0.000226337	39.7637	318.109	
mscal(Dense)	float	4000	4000	0.00558249	2.8661	22.9288	
mscal(Dense)	float	5000	5000	0.0106291	2.35203	18.8162	
mscal(Dense)	float	6000	6000	0.0155237	2.31904	18.5523	
mscal(Dense)	float	7000	7000	0.0215696	2.27172	18.1737	
mscal(Dense)	float	8000	8000	0.0282118	2.26855	18.1484	
mscal(Dense)	float	9000	9000	0.0137323	5.8985	47.188	
mscal(Dense)	float	10000	10000	0.0396556	2.52171	20.1737	
mscal(Dense)	double	1000	1000	0.00381246	0.262298	4.19677	
mscal(Dense)	double	2000	2000	0.00021226	18.8448	301.517	
mscal(Dense)	double	3000	3000	0.00685862	1.31222	20.9955	
mscal(Dense)	double	4000	4000	0.0138317	1.15676	18.5082	
mscal(Dense)	double	5000	5000	0.0218007	1.14675	18.348	
mscal(Dense)	double	6000	6000	0.0179151	2.00947	32.1516	
mscal(Dense)	double	7000	7000	0.0437298	1.12052	17.9283	
mscal(Dense)	double	8000	8000	0.0551446	1.16058	18.5694	
mscal(Dense)	double	9000	9000	0.0620706	1.30497	20.8795	
mscal(Dense)	double	10000	10000	0.0879662	1.1368	18.1888	
