func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00271507	
convert(COO,Dense)	float	2000	2000	0.00574409	
convert(COO,Dense)	float	3000	3000	0.0167203	
convert(COO,Dense)	float	4000	4000	0.0279189	
convert(COO,Dense)	float	5000	5000	0.043519	
convert(COO,Dense)	float	6000	6000	0.0608561	
convert(COO,Dense)	float	7000	7000	0.0802476	
convert(COO,Dense)	float	8000	8000	0.103787	
convert(COO,Dense)	float	9000	9000	0.129871	
convert(COO,Dense)	float	10000	10000	0.15905	
convert(COO,Dense)	double	1000	1000	0.00283527	
convert(COO,Dense)	double	2000	2000	0.00918783	
convert(COO,Dense)	double	3000	3000	0.0293914	
convert(COO,Dense)	double	4000	4000	0.0520558	
convert(COO,Dense)	double	5000	5000	0.0814352	
convert(COO,Dense)	double	6000	6000	0.112902	
convert(COO,Dense)	double	7000	7000	0.151873	
convert(COO,Dense)	double	8000	8000	0.197075	
convert(COO,Dense)	double	9000	9000	0.247696	
convert(COO,Dense)	double	10000	10000	0.303228	
