func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.00174672	0.0463727	0.370982	
mscal(CRS)	float	10000	10000	9.24528e-05	8.76123	70.0898	
mscal(CRS)	float	100000	100000	0.00601585	1.34644	10.7715	
mscal(CRS)	float	1000000	1000000	0.0835327	0.96968	7.75744	
mscal(CRS)	double	1000	1000	2.75646e-05	2.93855	47.0168	
mscal(CRS)	double	10000	10000	0.000182065	4.44897	71.1834	
mscal(CRS)	double	100000	100000	0.0158339	0.511562	8.18499	
mscal(CRS)	double	1000000	1000000	0.145464	0.556838	8.90942	
