func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
xpay	float	1000	0.00093231	0.00321781	0.00858084	
xpay	float	10000	0.000971691	0.030874	0.0823307	
xpay	float	100000	0.00138415	0.21674	0.577973	
xpay	float	1000000	0.00532587	0.563288	1.5021	
xpay	float	10000000	0.0372987	0.804317	2.14485	
xpay	float	100000000	0.391819	0.765659	2.04176	
xpay	double	1000	0.00073236	0.00409635	0.0218472	
xpay	double	10000	0.000771919	0.0388642	0.207276	
xpay	double	100000	0.00118161	0.25389	1.35408	
xpay	double	1000000	0.00478641	0.626775	3.3428	
xpay	double	10000000	0.0414976	0.722934	3.85565	
xpay	double	100000000	0.418006	0.717694	3.8277	
