func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.00192998	1.03628	
mv_mul(Dense)	float	2000	2000	6.74014e-05	118.692	
mv_mul(Dense)	float	3000	3000	0.000198918	90.4896	
mv_mul(Dense)	float	4000	4000	0.00509684	6.2784	
mv_mul(Dense)	float	5000	5000	0.00957411	5.22242	
mv_mul(Dense)	float	6000	6000	0.0147855	4.86962	
mv_mul(Dense)	float	7000	7000	0.0202122	4.84856	
mv_mul(Dense)	float	8000	8000	0.0263066	4.8657	
mv_mul(Dense)	float	9000	9000	0.0200298	8.08795	
mv_mul(Dense)	float	10000	10000	0.042368	4.72054	
mv_mul(Dense)	double	1000	1000	0.000158272	12.6364	
mv_mul(Dense)	double	2000	2000	0.000148142	54.0022	
mv_mul(Dense)	double	3000	3000	0.00597707	3.01151	
mv_mul(Dense)	double	4000	4000	0.0126439	2.53086	
mv_mul(Dense)	double	5000	5000	0.0202577	2.4682	
mv_mul(Dense)	double	6000	6000	0.0303426	2.3729	
mv_mul(Dense)	double	7000	7000	0.0416819	2.35114	
mv_mul(Dense)	double	8000	8000	0.0390479	3.27803	
mv_mul(Dense)	double	9000	9000	0.0371876	4.35629	
mv_mul(Dense)	double	10000	10000	0.0771171	2.59346	
