func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	8.74521e-05	11.4348	137.218	
matadd(Dense,Dense,Dense)	float	2000	2000	0.00218252	1.83274	21.9929	
matadd(Dense,Dense,Dense)	float	3000	3000	0.0106134	0.847981	10.1758	
matadd(Dense,Dense,Dense)	float	4000	4000	0.0200967	0.796149	9.55379	
matadd(Dense,Dense,Dense)	float	5000	5000	0.0329158	0.759514	9.11417	
matadd(Dense,Dense,Dense)	float	6000	6000	0.0315754	1.14013	13.6816	
matadd(Dense,Dense,Dense)	float	7000	7000	0.0631308	0.776166	9.31399	
matadd(Dense,Dense,Dense)	float	8000	8000	0.0818872	0.781563	9.37876	
matadd(Dense,Dense,Dense)	float	9000	9000	0.0996822	0.812582	9.75099	
matadd(Dense,Dense,Dense)	float	10000	10000	0.0760006	1.31578	15.7894	
matadd(Dense,Dense,Dense)	double	1000	1000	0.000101621	9.84052	236.173	
matadd(Dense,Dense,Dense)	double	2000	2000	0.0094011	0.425482	10.2116	
matadd(Dense,Dense,Dense)	double	3000	3000	0.0221699	0.405956	9.74294	
matadd(Dense,Dense,Dense)	double	4000	4000	0.0277735	0.57609	13.8262	
matadd(Dense,Dense,Dense)	double	5000	5000	0.0567296	0.440687	10.5765	
matadd(Dense,Dense,Dense)	double	6000	6000	0.0797054	0.451663	10.8399	
matadd(Dense,Dense,Dense)	double	7000	7000	0.0992941	0.493484	11.8436	
matadd(Dense,Dense,Dense)	double	8000	8000	0.11594	0.55201	13.2482	
matadd(Dense,Dense,Dense)	double	9000	9000	0.122159	0.663073	15.9137	
matadd(Dense,Dense,Dense)	double	10000	10000	0.162057	0.617067	14.8096	
