func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00307444	
transpose(Dense)	float	2000	2000	0.016	
transpose(Dense)	float	3000	3000	0.0495342	
transpose(Dense)	float	4000	4000	0.097925	
transpose(Dense)	float	5000	5000	0.155163	
transpose(Dense)	float	6000	6000	0.215665	
transpose(Dense)	float	7000	7000	0.336702	
transpose(Dense)	float	8000	8000	0.404303	
transpose(Dense)	float	9000	9000	0.527999	
transpose(Dense)	float	10000	10000	0.614903	
transpose(Dense)	double	1000	1000	0.00385242	
transpose(Dense)	double	2000	2000	0.0291849	
transpose(Dense)	double	3000	3000	0.0747825	
transpose(Dense)	double	4000	4000	0.154198	
transpose(Dense)	double	5000	5000	0.230451	
transpose(Dense)	double	6000	6000	0.359764	
transpose(Dense)	double	7000	7000	0.454628	
transpose(Dense)	double	8000	8000	0.621549	
transpose(Dense)	double	9000	9000	0.758227	
transpose(Dense)	double	10000	10000	0.93029	
