func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
scal	float	1000	2.649e-07	3.77501	30.2001	
scal	float	10000	1.7682e-06	5.65547	45.2438	
scal	float	100000	9.1133e-06	10.973	87.7838	
scal	float	1000000	2.11084e-05	47.3745	378.996	
scal	float	10000000	0.000733521	13.6329	109.063	
scal	float	100000000	0.0163114	6.13068	49.0455	
scal	double	1000	3.086e-07	3.24044	51.8471	
scal	double	10000	8.4878e-06	1.17816	18.8506	
scal	double	100000	0.00179164	0.0558149	0.893039	
scal	double	1000000	4.22578e-05	23.6643	378.628	
scal	double	10000000	0.00825635	1.21119	19.379	
scal	double	100000000	0.0365036	2.73946	43.8313	
