func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00213461	0.46847	
m_tanh(Dense)	float	2000	2000	0.00109944	3.63822	
m_tanh(Dense)	float	3000	3000	0.00250119	3.59829	
m_tanh(Dense)	float	4000	4000	0.00492892	3.24615	
m_tanh(Dense)	float	5000	5000	0.00880761	2.83846	
m_tanh(Dense)	float	6000	6000	0.0126611	2.84336	
m_tanh(Dense)	float	7000	7000	0.0178961	2.73803	
m_tanh(Dense)	float	8000	8000	0.0235217	2.72089	
m_tanh(Dense)	float	9000	9000	0.03008	2.69282	
m_tanh(Dense)	float	10000	10000	0.0396666	2.52102	
m_tanh(Dense)	double	1000	1000	0.000738549	1.35401	
m_tanh(Dense)	double	2000	2000	0.00291664	1.37144	
m_tanh(Dense)	double	3000	3000	0.00703796	1.27878	
m_tanh(Dense)	double	4000	4000	0.0125422	1.27569	
m_tanh(Dense)	double	5000	5000	0.0200486	1.24697	
m_tanh(Dense)	double	6000	6000	0.0282936	1.27237	
m_tanh(Dense)	double	7000	7000	0.0389475	1.2581	
m_tanh(Dense)	double	8000	8000	0.0504014	1.26981	
m_tanh(Dense)	double	9000	9000	0.0693518	1.16796	
m_tanh(Dense)	double	10000	10000	0.0810039	1.23451	
