func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00138699	0.720986	
m_tanh(Dense)	float	2000	2000	0.00428396	0.933716	
m_tanh(Dense)	float	3000	3000	0.00950694	0.946677	
m_tanh(Dense)	float	4000	4000	0.017041	0.93891	
m_tanh(Dense)	float	5000	5000	0.026446	0.945324	
m_tanh(Dense)	float	6000	6000	0.0379173	0.949435	
m_tanh(Dense)	float	7000	7000	0.0514328	0.9527	
m_tanh(Dense)	float	8000	8000	0.0665799	0.961251	
m_tanh(Dense)	float	9000	9000	0.0844667	0.958957	
m_tanh(Dense)	float	10000	10000	0.103951	0.961989	
m_tanh(Dense)	double	1000	1000	0.00309812	0.322776	
m_tanh(Dense)	double	2000	2000	0.0124601	0.321025	
m_tanh(Dense)	double	3000	3000	0.0281977	0.319175	
m_tanh(Dense)	double	4000	4000	0.0500377	0.319759	
m_tanh(Dense)	double	5000	5000	0.0782797	0.319368	
m_tanh(Dense)	double	6000	6000	0.11289	0.318894	
m_tanh(Dense)	double	7000	7000	0.153813	0.318569	
m_tanh(Dense)	double	8000	8000	0.20104	0.318345	
m_tanh(Dense)	double	9000	9000	0.254571	0.318182	
