func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
scal	float	1000	0.000256829	0.00389364	0.0311491	
scal	float	10000	0.000272966	0.0366346	0.293077	
scal	float	100000	0.000305544	0.327285	2.61828	
scal	float	1000000	0.000365469	2.73621	21.8897	
scal	float	10000000	0.00106751	9.36756	74.9405	
scal	float	100000000	0.00849044	11.7779	94.2236	
scal	double	1000	0.000280814	0.00356108	0.0569772	
scal	double	10000	0.000271899	0.0367783	0.588453	
scal	double	100000	0.000314504	0.317961	5.08738	
scal	double	1000000	0.000414608	2.41192	38.5907	
scal	double	10000000	0.00193123	5.17806	82.8489	
scal	double	100000000	0.016501	6.06024	96.9638	
