func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00839012	238.376
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00482843	1397.97
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00924434	1730.79
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0155953	2003.81
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0257174	2099.75
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0410366	2089.6
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0608686	2102.89
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0881061	2068.53
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.122187	2046.04
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0276461	72.3429
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0878977	76.7938
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.207589	77.0754
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.403848	77.3807
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.678716	79.562
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.08549	78.9966
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.61507	79.2537
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.30487	79.0718
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.16699	78.9394
