func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.0045289	441.608
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0130024	519.137
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0296259	540.068
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0683847	456.973
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.102873	524.918
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.159142	538.827
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.236819	540.498
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.330494	551.447
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.458093	545.74
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.00862543	231.872
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0268269	251.613
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.0634425	252.197
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.11983	260.787
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.203723	265.066
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.318618	269.131
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.474853	269.557
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	0.666338	273.51
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	0.914607	273.341
