func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.00271623	59.6416
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.00613327	59.43
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.011511	56.2938
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.0203676	49.7112
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.0301604	48.3416
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0148895	10.8802
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0329957	11.0469
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0556796	11.638
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.0891565	11.3564
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.129601	11.2499
