func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00291169
transpose(Dense)	Dense	float	2000	2000	0.0154912
transpose(Dense)	Dense	float	3000	3000	0.0494678
transpose(Dense)	Dense	float	4000	4000	0.0974322
transpose(Dense)	Dense	float	5000	5000	0.153908
transpose(Dense)	Dense	float	6000	6000	0.212787
transpose(Dense)	Dense	float	7000	7000	0.317894
transpose(Dense)	Dense	float	8000	8000	0.391627
transpose(Dense)	Dense	float	9000	9000	0.5251
transpose(Dense)	Dense	float	10000	10000	0.609828
transpose(Dense)	Dense	double	1000	1000	0.00355103
transpose(Dense)	Dense	double	2000	2000	0.0276436
transpose(Dense)	Dense	double	3000	3000	0.0734169
transpose(Dense)	Dense	double	4000	4000	0.148836
transpose(Dense)	Dense	double	5000	5000	0.229041
transpose(Dense)	Dense	double	6000	6000	0.340967
transpose(Dense)	Dense	double	7000	7000	0.453545
transpose(Dense)	Dense	double	8000	8000	0.619532
transpose(Dense)	Dense	double	9000	9000	0.751229
transpose(Dense)	Dense	double	10000	10000	0.928636
