func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.00523395
convert(COO,CRS)	CRS	float	20000	20000	0.0122767
convert(COO,CRS)	CRS	float	30000	30000	0.0234446
convert(COO,CRS)	CRS	float	40000	40000	0.0307824
convert(COO,CRS)	CRS	float	50000	50000	0.0381695
convert(COO,CRS)	CRS	float	60000	60000	0.0449125
convert(COO,CRS)	CRS	float	70000	70000	0.0532877
convert(COO,CRS)	CRS	float	80000	80000	0.0598368
convert(COO,CRS)	CRS	float	90000	90000	0.0673681
convert(COO,CRS)	CRS	float	100000	100000	0.0748837
convert(COO,CRS)	CRS	double	10000	10000	0.00496095
convert(COO,CRS)	CRS	double	20000	20000	0.0133953
convert(COO,CRS)	CRS	double	30000	30000	0.028193
convert(COO,CRS)	CRS	double	40000	40000	0.0376429
convert(COO,CRS)	CRS	double	50000	50000	0.0469329
convert(COO,CRS)	CRS	double	60000	60000	0.0622817
convert(COO,CRS)	CRS	double	70000	70000	0.0725701
convert(COO,CRS)	CRS	double	80000	80000	0.0819317
convert(COO,CRS)	CRS	double	90000	90000	0.0923031
convert(COO,CRS)	CRS	double	100000	100000	0.102803
