func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.0011597
convert(COO,Dense)	Dense	float	2000	2000	0.00380771
convert(COO,Dense)	Dense	float	3000	3000	0.00998744
convert(COO,Dense)	Dense	float	4000	4000	0.0163053
convert(COO,Dense)	Dense	float	5000	5000	0.0243013
convert(COO,Dense)	Dense	float	6000	6000	0.0410418
convert(COO,Dense)	Dense	float	7000	7000	0.074902
convert(COO,Dense)	Dense	float	8000	8000	0.0967245
convert(COO,Dense)	Dense	float	9000	9000	0.119839
convert(COO,Dense)	Dense	float	10000	10000	0.14341
convert(COO,Dense)	Dense	double	1000	1000	0.00163468
convert(COO,Dense)	Dense	double	2000	2000	0.0070966
convert(COO,Dense)	Dense	double	3000	3000	0.0175092
convert(COO,Dense)	Dense	double	4000	4000	0.0336523
convert(COO,Dense)	Dense	double	5000	5000	0.0706459
convert(COO,Dense)	Dense	double	6000	6000	0.105837
convert(COO,Dense)	Dense	double	7000	7000	0.13803
convert(COO,Dense)	Dense	double	8000	8000	0.173682
convert(COO,Dense)	Dense	double	9000	9000	0.215681
convert(COO,Dense)	Dense	double	10000	10000	0.26019
