func	kind	prec	M	N	time[sec]
convert(COO,CRS)	CRS	float	10000	10000	0.00320914
convert(COO,CRS)	CRS	float	20000	20000	0.00569845
convert(COO,CRS)	CRS	float	30000	30000	0.0088347
convert(COO,CRS)	CRS	float	40000	40000	0.0115664
convert(COO,CRS)	CRS	float	50000	50000	0.014422
convert(COO,CRS)	CRS	float	60000	60000	0.0169215
convert(COO,CRS)	CRS	float	70000	70000	0.0201335
convert(COO,CRS)	CRS	float	80000	80000	0.0225521
convert(COO,CRS)	CRS	float	90000	90000	0.021567
convert(COO,CRS)	CRS	float	100000	100000	0.02352
convert(COO,CRS)	CRS	double	10000	10000	0.0031236
convert(COO,CRS)	CRS	double	20000	20000	0.00614635
convert(COO,CRS)	CRS	double	30000	30000	0.010891
convert(COO,CRS)	CRS	double	40000	40000	0.0145705
convert(COO,CRS)	CRS	double	50000	50000	0.0159613
convert(COO,CRS)	CRS	double	60000	60000	0.0206089
convert(COO,CRS)	CRS	double	70000	70000	0.0240526
convert(COO,CRS)	CRS	double	80000	80000	0.0271852
convert(COO,CRS)	CRS	double	90000	90000	0.028644
convert(COO,CRS)	CRS	double	100000	100000	0.0316035
