func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_sqrt(Dense)	Dense	float	1000	1000	0.000208393	4.79862
m_sqrt(Dense)	Dense	float	2000	2000	0.00129478	3.08932
m_sqrt(Dense)	Dense	float	3000	3000	0.00313527	2.87057
m_sqrt(Dense)	Dense	float	4000	4000	0.00563389	2.83995
m_sqrt(Dense)	Dense	float	5000	5000	0.00865446	2.88868
m_sqrt(Dense)	Dense	float	6000	6000	0.012439	2.89413
m_sqrt(Dense)	Dense	float	7000	7000	0.0169245	2.89521
m_sqrt(Dense)	Dense	float	8000	8000	0.022096	2.89645
m_sqrt(Dense)	Dense	float	9000	9000	0.0278926	2.904
m_sqrt(Dense)	Dense	float	10000	10000	0.0344578	2.9021
m_sqrt(Dense)	Dense	double	1000	1000	0.000297024	3.36673
m_sqrt(Dense)	Dense	double	2000	2000	0.00274086	1.4594
m_sqrt(Dense)	Dense	double	3000	3000	0.00614314	1.46505
m_sqrt(Dense)	Dense	double	4000	4000	0.0109185	1.4654
m_sqrt(Dense)	Dense	double	5000	5000	0.0169468	1.4752
m_sqrt(Dense)	Dense	double	6000	6000	0.0244195	1.47423
m_sqrt(Dense)	Dense	double	7000	7000	0.0332682	1.47288
m_sqrt(Dense)	Dense	double	8000	8000	0.0434365	1.47342
m_sqrt(Dense)	Dense	double	9000	9000	0.0550495	1.4714
m_sqrt(Dense)	Dense	double	10000	10000	0.0678316	1.47424
