func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00824821	242.477
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.026276	256.888
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0615622	259.9
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.116587	268.039
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.207762	259.913
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.331895	258.365
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.480176	266.569
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.684775	266.146
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.932876	267.988
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0160359	124.72
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.053618	125.89
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.12674	126.242
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.243823	128.167
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.425708	126.848
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.670497	127.89
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.971906	131.7
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	1.41131	129.135
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	1.92853	129.632
