func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00582653	343.257
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0135946	496.522
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0313663	510.102
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0617899	505.746
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.105705	510.857
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.162376	528.094
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.238612	536.436
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.329739	552.711
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.456667	547.445
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.00949321	210.677
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0277145	243.555
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.0635946	251.594
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.116394	268.485
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.198656	271.827
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.307637	278.738
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.45595	280.732
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	0.659461	276.362
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	0.911049	274.409
