func	kind	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	Dense	float	1000	1000	0.00137176	0.728993
m_tanh(Dense)	Dense	float	2000	2000	0.00428666	0.933127
m_tanh(Dense)	Dense	float	3000	3000	0.00972501	0.925449
m_tanh(Dense)	Dense	float	4000	4000	0.0170936	0.936022
m_tanh(Dense)	Dense	float	5000	5000	0.0265255	0.942488
m_tanh(Dense)	Dense	double	1000	1000	0.00282841	0.353555
m_tanh(Dense)	Dense	double	2000	2000	0.0113413	0.352695
m_tanh(Dense)	Dense	double	3000	3000	0.0259352	0.347019
m_tanh(Dense)	Dense	double	4000	4000	0.0457322	0.349863
m_tanh(Dense)	Dense	double	5000	5000	0.0717775	0.348298
