func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00831649	240.486
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00476014	1418.03
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00898541	1780.66
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0155745	2006.49
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0255615	2112.55
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0412203	2080.28
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0606007	2112.19
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0875202	2082.38
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.120916	2067.55
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0276415	72.3549
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0878191	76.8625
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.207545	77.0916
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.403581	77.4317
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.677774	79.6725
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.08477	79.049
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.61302	79.3541
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.30206	79.1682
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.16574	78.9704
