func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00845041	236.675
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0264655	255.049
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0619872	258.118
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.126138	247.744
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.216328	249.621
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.346449	247.511
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.485186	263.816
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.713884	255.293
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	1.00766	248.099
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0162733	122.901
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0528757	127.658
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.129245	123.795
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.247355	126.336
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.42313	127.62
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.683189	125.514
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.996276	128.478
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	1.42779	127.645
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	1.96104	127.483
