func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.00138574	0.721636
m_tanh(Dense)	float	2000	2000	0.00429502	0.93131
m_tanh(Dense)	float	3000	3000	0.00949265	0.948102
m_tanh(Dense)	float	4000	4000	0.0170612	0.937799
m_tanh(Dense)	float	5000	5000	0.026472	0.944394
m_tanh(Dense)	double	1000	1000	0.00283206	0.3531
m_tanh(Dense)	double	2000	2000	0.0113505	0.352407
m_tanh(Dense)	double	3000	3000	0.0258331	0.348391
m_tanh(Dense)	double	4000	4000	0.0456581	0.35043
m_tanh(Dense)	double	5000	5000	0.0716376	0.348979
