func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	0.00427195	0.234085	2.80902
matadd(Dense,Dense,Dense)	float	2000	2000	0.0137512	0.290884	3.49061
matadd(Dense,Dense,Dense)	float	3000	3000	0.0243099	0.370219	4.44263
matadd(Dense,Dense,Dense)	float	4000	4000	0.0436318	0.366705	4.40046
matadd(Dense,Dense,Dense)	float	5000	5000	0.0677756	0.368864	4.42637
matadd(Dense,Dense,Dense)	double	1000	1000	0.00415855	0.240468	5.77124
matadd(Dense,Dense,Dense)	double	2000	2000	0.0142105	0.281483	6.75559
matadd(Dense,Dense,Dense)	double	3000	3000	0.0263777	0.341197	8.18872
matadd(Dense,Dense,Dense)	double	4000	4000	0.0554406	0.288597	6.92634
matadd(Dense,Dense,Dense)	double	5000	5000	0.0867758	0.288099	6.91437
