func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	0.000938099	0.00213197	0.0127918
axpyz	float	2000	0.000940559	0.00425279	0.0255167
axpyz	float	4000	0.000946635	0.00845099	0.0507059
axpyz	float	8000	0.000957627	0.016708	0.100248
axpyz	float	16000	0.000983917	0.0325231	0.195138
axpyz	float	32000	0.00103675	0.0617311	0.370387
axpyz	float	64000	0.00114378	0.111909	0.671457
axpyz	float	128000	0.00136261	0.187875	1.12725
axpyz	float	256000	0.00177816	0.287937	1.72762
axpyz	float	512000	0.00268472	0.381418	2.28851
axpyz	float	1024000	0.00410228	0.499235	2.99541
axpyz	float	2048000	0.00711665	0.575552	3.45331
axpyz	float	4096000	0.0122273	0.669979	4.01987
axpyz	float	8192000	0.0224505	0.729784	4.3787
axpyz	float	16384000	0.0432719	0.757258	4.54355
axpyz	float	32768000	0.0871711	0.751809	4.51086
axpyz	float	65536000	0.177792	0.737223	4.42334
axpyz	double	1000	0.000726238	0.00275392	0.033047
axpyz	double	2000	0.000729047	0.00548662	0.0658394
axpyz	double	4000	0.000736827	0.0108574	0.130288
axpyz	double	8000	0.00075259	0.0212599	0.255119
axpyz	double	16000	0.000777805	0.0411414	0.493697
axpyz	double	32000	0.000831476	0.0769716	0.923659
axpyz	double	64000	0.000943865	0.135613	1.62735
axpyz	double	128000	0.00116649	0.219462	2.63355
axpyz	double	256000	0.00158546	0.322934	3.87521
axpyz	double	512000	0.00244295	0.419165	5.02998
axpyz	double	1024000	0.00419414	0.488301	5.85961
axpyz	double	2048000	0.00760412	0.538655	6.46386
axpyz	double	4096000	0.014392	0.569205	6.83046
axpyz	double	8192000	0.0286223	0.572421	6.86905
axpyz	double	16384000	0.0563404	0.581607	6.97929
axpyz	double	32768000	0.112104	0.584597	7.01517
