func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.00209816	0.476607
m_tanh(Dense)	float	2000	2000	0.00111298	3.59397
m_tanh(Dense)	float	3000	3000	0.00249606	3.60569
m_tanh(Dense)	float	4000	4000	0.00489119	3.27119
m_tanh(Dense)	float	5000	5000	0.00874621	2.85838
m_tanh(Dense)	double	1000	1000	0.000732965	1.36432
m_tanh(Dense)	double	2000	2000	0.00290928	1.37491
m_tanh(Dense)	double	3000	3000	0.00715462	1.25793
m_tanh(Dense)	double	4000	4000	0.0124374	1.28644
m_tanh(Dense)	double	5000	5000	0.0196725	1.27081
