func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	float	1000	8.9778e-06	0.111386	0.445543
sum	float	2000	9.0557e-06	0.220855	0.883421
sum	float	4000	9.3295e-06	0.428748	1.71499
sum	float	8000	9.6168e-06	0.831878	3.32751
sum	float	16000	9.5574e-06	1.6741	6.69638
sum	float	32000	1.05452e-05	3.03456	12.1382
sum	float	64000	1.31063e-05	4.88315	19.5326
sum	float	128000	1.77349e-05	7.21741	28.8696
sum	float	256000	2.68909e-05	9.51995	38.0798
sum	float	512000	4.49397e-05	11.393	45.5722
sum	float	1024000	8.27298e-05	12.3776	49.5106
sum	float	2048000	0.000157463	13.0063	52.0251
sum	float	4096000	0.000306189	13.3773	53.5094
sum	float	8192000	0.000615371	13.3123	53.2492
sum	float	16384000	0.00157225	10.4207	41.6829
sum	float	32768000	0.010503	3.11987	12.4795
sum	float	65536000	0.0089263	7.3419	29.3676
sum	double	1000	8.7127e-06	0.114775	0.9182
sum	double	2000	8.6382e-06	0.23153	1.85224
sum	double	4000	9.1516e-06	0.437082	3.49666
sum	double	8000	2.62447e-05	0.304823	2.43859
sum	double	16000	9.8405e-06	1.62593	13.0075
sum	double	32000	1.11119e-05	2.8798	23.0384
sum	double	64000	1.32561e-05	4.82797	38.6237
sum	double	128000	2.13347e-05	5.99962	47.9969
sum	double	256000	2.67363e-05	9.575	76.6
sum	double	512000	4.55569e-05	11.2387	89.9095
sum	double	1024000	8.22879e-05	12.4441	99.5529
sum	double	2048000	0.000158442	12.9259	103.407
sum	double	4096000	0.000310179	13.2053	105.642
sum	double	8192000	0.00521378	1.57122	12.5698
sum	double	16384000	0.00251318	6.51923	52.1538
sum	double	32768000	0.0270056	1.21338	9.70704
sum	double	65536000	0.0106141	6.1744	49.3952
