func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.000652729	0.124094	0.992754
mscal(CRS)	float	2000	2000	2.61851e-05	6.18672	49.4938
mscal(CRS)	float	4000	4000	3.87769e-05	8.35549	66.8439
mscal(CRS)	float	8000	8000	6.9304e-05	9.35011	74.8009
mscal(CRS)	float	16000	16000	0.0001296	9.99997	79.9998
mscal(CRS)	float	32000	32000	0.000229123	11.3127	90.5015
mscal(CRS)	float	64000	64000	0.00116124	4.46421	35.7137
mscal(CRS)	double	1000	1000	3.12402e-05	2.59281	41.485
mscal(CRS)	double	2000	2000	4.05694e-05	3.99316	63.8905
mscal(CRS)	double	4000	4000	6.70339e-05	4.83338	77.334
mscal(CRS)	double	8000	8000	0.000136397	4.75084	76.0134
mscal(CRS)	double	16000	16000	0.000239418	5.41312	86.6099
mscal(CRS)	double	32000	32000	0.00113981	2.27407	36.3851
mscal(CRS)	double	64000	64000	0.0085531	0.606096	9.69753
