func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.00628318	318.31
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.0135081	499.699
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0307702	519.983
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0605351	516.23
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.104205	518.21
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.161829	529.882
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.233546	548.072
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.332274	548.494
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.452284	552.75
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00901274	221.908
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.027602	244.547
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0625908	255.629
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.114835	272.131
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.196352	275.016
matmul(Dense,Dense,Dense)	double	3500	3500	3500	0.305687	280.516
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.458031	279.457
matmul(Dense,Dense,Dense)	double	4500	4500	4500	0.659385	276.394
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.907525	275.474
