func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.00113454	0.0713943	0.571154
mscal(CRS)	float	2000	2000	0.00137539	0.117785	0.942277
mscal(CRS)	float	4000	4000	0.00180407	0.179594	1.43675
mscal(CRS)	float	8000	8000	0.00266121	0.243498	1.94799
mscal(CRS)	float	16000	16000	0.00398312	0.325373	2.60298
mscal(CRS)	float	32000	32000	0.00644742	0.402021	3.21617
mscal(CRS)	float	64000	64000	0.0115862	0.447429	3.57943
mscal(CRS)	double	1000	1000	0.000989492	0.0818602	1.30976
mscal(CRS)	double	2000	2000	0.00122023	0.132762	2.12419
mscal(CRS)	double	4000	4000	0.00169546	0.191098	3.05758
mscal(CRS)	double	8000	8000	0.00256443	0.252688	4.043
mscal(CRS)	double	16000	16000	0.0043055	0.30101	4.81617
mscal(CRS)	double	32000	32000	0.00771678	0.335891	5.37426
mscal(CRS)	double	64000	64000	0.0147289	0.351961	5.63137
