func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
scal	float	1000	2.881e-07	3.47102	27.7681
scal	float	2000	2.965e-07	6.74536	53.9629
scal	float	4000	5.4e-07	7.40741	59.2593
scal	float	8000	1.1145e-06	7.17811	57.4249
scal	float	16000	2.81e-06	5.69395	45.5516
scal	float	32000	4.8047e-06	6.66015	53.2812
scal	float	64000	9.779e-06	6.54464	52.3571
scal	float	128000	9.612e-06	13.3167	106.533
scal	float	256000	1.2047e-05	21.2501	170.001
scal	float	512000	1.48457e-05	34.4881	275.905
scal	float	1024000	2.17131e-05	47.1605	377.284
scal	float	2048000	4.3158e-05	47.4535	379.628
scal	float	4096000	8.00425e-05	51.1728	409.383
scal	float	8192000	0.000154768	52.9308	423.447
scal	float	16384000	0.00220722	7.42291	59.3833
scal	float	32768000	0.015641	2.095	16.76
scal	float	65536000	0.00984057	6.65977	53.2782
scal	double	1000	2.911e-07	3.43525	54.9639
scal	double	2000	4.701e-07	4.25441	68.0706
scal	double	4000	1.0859e-06	3.68358	58.9373
scal	double	8000	2.8379e-06	2.81899	45.1038
scal	double	16000	8.3624e-06	1.91333	30.6132
scal	double	32000	9.5458e-06	3.35226	53.6362
scal	double	64000	9.268e-06	6.90548	110.488
scal	double	128000	1.1615e-05	11.0202	176.324
scal	double	256000	1.42059e-05	18.0207	288.331
scal	double	512000	2.13941e-05	23.9318	382.909
scal	double	1024000	4.29289e-05	23.8534	381.654
scal	double	2048000	7.59117e-05	26.9787	431.659
scal	double	4096000	0.000170501	24.0233	384.373
scal	double	8192000	0.00617433	1.32678	21.2285
scal	double	16384000	0.00492745	3.32505	53.2008
scal	double	32768000	0.0334712	0.978991	15.6639
scal	double	65536000	0.0214582	3.05412	48.8659
