func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	float	1000	1000	1000	0.740338	0.218819
matmul(Dense,CRS,Dense)	float	1500	1500	1500	1.74169	0.209279
matmul(Dense,CRS,Dense)	float	2000	2000	2000	3.57079	0.181472
matmul(Dense,CRS,Dense)	float	2500	2500	2500	5.76129	0.175742
matmul(Dense,CRS,Dense)	float	3000	3000	3000	8.30119	0.175637
matmul(Dense,CRS,Dense)	double	1000	1000	1000	0.842776	0.192222
matmul(Dense,CRS,Dense)	double	1500	1500	1500	2.14973	0.169557
matmul(Dense,CRS,Dense)	double	2000	2000	2000	4.02699	0.160914
matmul(Dense,CRS,Dense)	double	2500	2500	2500	6.5152	0.155406
matmul(Dense,CRS,Dense)	double	3000	3000	3000	9.22574	0.158036
