func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.7141e-05	17.5006	210.007
matadd(Dense,Dense,Dense)	float	2000	2000	0.00227181	1.76071	21.1285
matadd(Dense,Dense,Dense)	float	3000	3000	0.0107309	0.838701	10.0644
matadd(Dense,Dense,Dense)	float	4000	4000	0.0204233	0.783418	9.40102
matadd(Dense,Dense,Dense)	float	5000	5000	0.0327156	0.764161	9.16994
matadd(Dense,Dense,Dense)	double	1000	1000	0.00010256	9.75037	234.009
matadd(Dense,Dense,Dense)	double	2000	2000	0.00729642	0.548214	13.1571
matadd(Dense,Dense,Dense)	double	3000	3000	0.0167374	0.537717	12.9052
matadd(Dense,Dense,Dense)	double	4000	4000	0.0336593	0.475351	11.4084
matadd(Dense,Dense,Dense)	double	5000	5000	0.0518315	0.482332	11.576
