func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	float	1000	1000	0.0243624	0.0066496
matvec(CRS)	float	2000	2000	4.33083e-05	7.48124
matvec(CRS)	float	4000	4000	7.43635e-05	8.71395
matvec(CRS)	float	8000	8000	0.000134649	9.62503
matvec(CRS)	float	16000	16000	0.000257699	10.0582
matvec(CRS)	float	32000	32000	0.000507977	10.2052
matvec(CRS)	float	64000	64000	0.00101087	10.2565
matvec(CRS)	double	1000	1000	3.89802e-05	4.15596
matvec(CRS)	double	2000	2000	5.87059e-05	5.51904
matvec(CRS)	double	4000	4000	0.000103433	6.26494
matvec(CRS)	double	8000	8000	0.000186025	6.96681
matvec(CRS)	double	16000	16000	0.000342217	7.57415
matvec(CRS)	double	32000	32000	0.000656419	7.8974
matvec(CRS)	double	64000	64000	0.00128403	8.07458
